1991,0.7440102530960792
1992,0.7391329339049757
1993,0.739011043219174
1994,0.7481223777745781
1995,0.7487538538851236
1996,0.746613238491496
1997,0.7432670279935185
1998,0.7463121554730566
1999,0.7081807794938437
2000,0.7118929110105581
2001,0.7087678626005411
2002,0.7062867845803608
2003,0.7058187686498996
2004,0.7105717631711583
2005,0.705819298943553
2006,0.7022464591490378
2007,0.7067053909606719
2008,0.706113859215664
2009,0.7059705530593616
2010,0.7061599413922286
2011,0.700745841099811
2012,0.7030683813603191
2013,0.7050155132052669
2014,0.7109749773954916
2015,0.7130708661417323
2016,0.711211301135279
2017,0.7140317179432616
