1991,0.25364079263568434
1992,0.2478142486011191
1993,0.24563737095160226
1994,0.24266653525360668
1995,0.24078805641141254
1996,0.24070709364827012
1997,0.23783895406615815
1998,0.23882526304904217
1999,0.24008721295895122
2000,0.2319789935332486
2001,0.2356542550230979
2002,0.2321797259641068
2003,0.23247323714219223
2004,0.22161326789061717
2005,0.22758088045996738
2006,0.23080067086663003
2007,0.2269345585148561
2008,0.2214318239311915
2009,0.22736217552533994
2010,0.22272365022516252
2011,0.23486497380088675
2012,0.22793863418585583
2013,0.22704334058974868
2014,0.22187294022207574
2015,0.2165805022156573
2016,0.22335552096786657
2017,0.21495398355388554
