1991,7.869469026548672
1992,8.774673549954448
1993,9.152244059841596
1994,9.795023696682465
1995,10.344400845155448
1996,10.589844937671025
1997,11.11714824120603
1998,11.225117739403453
1999,10.884575747165922
2000,11.608919382504288
2001,11.304229195088677
2002,11.334996436208126
2003,11.260545905707197
2004,11.682216766047
2005,11.443015983321752
2006,11.019350380096752
2007,10.92318281938326
2008,11.00071479628306
2009,10.494791666666666
2010,10.896021699819169
2011,9.900594149908592
2012,10.177687809266757
2013,10.418646752658972
2014,10.843214451134784
2015,11.317095173658096
2016,11.196278358399184
2017,11.835002635740643
