1991,5.7427307206068265
1992,6.097479501973884
1993,6.508066881783514
1994,6.484597156398104
1995,6.8877150618774525
1996,6.752508361204013
1997,7.340766331658291
1998,7.18712715855573
1999,6.951906561319134
2000,6.9852487135506
2001,6.9212141882673945
2002,6.741981468282252
2003,6.595179014533853
2004,6.385128025254296
2005,5.977414871438499
2006,5.638562543192813
2007,5.487059471365638
2008,5.642125327614963
2009,5.507925724637682
2010,5.624773960216999
2011,5.634369287020109
2012,5.515294646873595
2013,5.720525005657389
2014,5.675081056044465
2015,5.776048714479026
2016,5.9464695386184045
2017,6.100685292567212
